8200$,5FRYD4H40EB026367,2014 Acura Mdx Technology,#49095273,Copart,США,Or - Eugene,Insurance company,A / 85,2023-05-23,19:00:00,Or - Salvage Title Certificate,Collision,Side,Minor Dent/scratches,Run and drive,69789 mi / actual,22174$,20095$,Automobile,2014,Acura,Mdx Technology,White,-,All Wheel Drive,Gas,3.5 L 6 cyl,Automatic
1100$,5FRYD4H20EB029428,2014 Acura Mdx,#50355923,Copart,США,Fl - Miami South,Third party,-,2023-05-23,01:00:00,Tn - Salvage Certificate,Cds Vehicle,All Over,-,Stationary,173267 mi / actual,19876$,0$,Automobile,2014,Acura,Mdx,Charcoal,4dr Spor,All Wheel Drive,Gas,3.5 L 6 cyl,Automatic
2575$,JH4KC1F3XEC004035,2014 Acura Rlx,#36192125,IAAI,США,Ca - San Diego,Insurance company,-,2023-05-18,00:00:00,Ca - Salvage Certificate,Collision,Front End,Unknown,Run and drive,80138 mi / actual,17626$,17626$,Automobile,2014,Acura,Rlx,Black,Sedan 4 Dr.,Front Wheel Drive,Gasoline,3.5 L 6 cyl,Automatic
1950$,19UUA8F56EA003195,2014 Acura Tl Tech,#36448585,IAAI,США,Ny - Long Island,Insurance company,C / 85,2023-05-24,00:00:00,Ny - Mv-907a,Collision,Front End,-,Run and drive,160584 mi / not actual,11721$,10052$,Automobile,2014,Acura,Tl Tech,White,Sedan 4 Dr.,Front Wheel Drive,Gasoline,3.5 L 6 cyl,Automatic
0$,JH4CU2F68EC005668,2014 Acura Tsx Tech,#46922543,Copart,США,Ca - San Diego,Third party,A / 147,2023-05-23,19:00:00,Ca - Cert Of Title Or Salvage Acq,Repossession,Side,Rear End,Run and drive,123332 mi / actual,11620$,16471$,Automobile,2014,Acura,Tsx Tech,Black,-,Front-wheel Drive,Gas,2.4 L 4 cyl,Automatic
2550$,JH4KC1F32EC002828,2014 Acura Rlx,#36571978,IAAI,США,Tx - Austin,Third party,-,2023-05-18,00:00:00,Tx - Salvage Title,Collision,Front End,-,Run and drive,144232 mi / not actual,14925$,0$,Automobile,2014,Acura,Rlx,Black,Sedan 4 Dr.,Front Wheel Drive,Gasoline,3.5 L 6 cyl,Automatic
4325$,5FRYD3H87EB020949,2014 Acura Mdx Advance/entertainment Pkg,#35523450,IAAI,США,Tx - Austin,Insurance company,A / 88,2023-05-24,00:00:00,Tx - Salvage Title,Collision,Right Side,Suspension,Run and drive,158086 mi / actual,17618$,0$,Automobile,2014,Acura,Mdx Advance/entertainment Pkg,Silver,Wagon 4 Dr.,Front Wheel Drive,Gasoline,3.5 L 6 cyl,Automatic
8000$,5J8TB3H57EL015093,2014 Acura Rdx Tech Pkg,#36580156,IAAI,США,Al - Huntsville,Third party,-,2023-05-17,00:00:00,Al - Salvage,Other,None,Unknown,Run and drive,98367 mi / actual,11075$,0$,Automobile,2014,Acura,Rdx Tech Pkg,White,Wagon 4 Dr.,Front Wheel Drive,Gasoline,3.5 L 6 cyl,Automatic
2850$,19UUA8F56EA005514,2014 Acura Tl Tech,#36543506,IAAI,США,Ca - Fontana,Insurance company,-,2023-05-19,00:00:00,Ca - Salvage Certificate,Collision,Rear,-,Run and drive,169928 mi / actual,13669$,0$,Automobile,2014,Acura,Tl Tech,Gray,Sedan 4 Dr.,Front Wheel Drive,Gasoline,3.5 L 6 cyl,Automatic
4525$,JH4KC1F59EC003492,2014 Acura Rlx Tech Pkg,#36071823,IAAI,США,Ca - Fontana,Insurance company,D / 129,2023-05-24,00:00:00,Ca - Salvage Certificate,Collision,Left Side,None,Run and drive,106120 mi / actual,17070$,16054$,Automobile,2014,Acura,Rlx Tech Pkg,Gray,Sedan 4 Dr.,Front Wheel Drive,Gasoline,3.5 L 6 cyl,Automatic
1550$,JH4CU2E80EC004792,2014 Acura Tsx Se,#47101113,Copart,США,Ca - So Sacramento,Insurance company,B / 2642,2023-05-22,19:00:00,Ca - Salvage Certificate,Water,Water/flood,Front End,Stationary,126526 mi / actual,5588$,0$,Automobile,2014,Acura,Tsx Se,White,-,Front-wheel Drive,Gas,2.4 L 4 cyl,Automatic
3900$,19VDE1F38EE008235,2014 Acura Ilx 20,#51499323,Copart,США,Ok - Oklahoma City,Insurance company,A / 6,2023-05-23,17:00:00,Ok - Cert Of Title-salvage Flood,Water,Water/flood,Minor Dent/scratches,Run and drive,135263 mi / actual,12392$,7435$,Automobile,2014,Acura,Ilx 20,Blue,-,Front-wheel Drive,Gas,2.0 L 4 cyl,Automatic
225$,19UUA8F24EA004528,2014 Acura Tl,#46547253,Copart,США,Wa - North Seattle,Insurance company,A / 1136,2023-05-22,19:00:00,Wa - Bill Of Sale,Collision,Front End,Rear End,Stationary,124606 mi / actual,11770$,16888$,Automobile,2014,Acura,Tl,Black,-,Front-wheel Drive,Gas,3.5 L 6 cyl,Automatic
0$,JH4KC1F92EC004003,2014 Acura Rlx Advance Pkg,#35805464,IAAI,США,Sd - Sioux Falls,Insurance company,A / 67,2023-05-23,14:30:00,Sd - Regular - Salvage,Collision,Front End,-,Engine starts,100740 mi / actual,17498$,0$,Automobile,2014,Acura,Rlx Advance Pkg,White,Sedan 4 Dr.,Front Wheel Drive,Gasoline,3.5 L 6 cyl,Automatic
0$,19VDE1F35EE014526,2014 Acura Ilx,#34664878,IAAI,США,Co - Denver East,Insurance company,B / 86,2023-05-23,15:30:00,Co - Bill Of Sale Parts Only,Collision,Front End,Left & Right Side,Stationary,1 mi / not actual,12730$,10419$,Automobile,2014,Acura,Ilx,Silver,Sedan,Front Wheel Drive,Gasoline,2.0 L 4 cyl,Automatic
3125$,19VDE1F34EE007177,2014 Acura Ilx,#36171642,IAAI,США,Ma - Taunton,Insurance company,-,2023-05-18,01:34:00,Ma - Salvage Repairable-collision,Collision,Front End,Unknown,Stationary,79842 mi / actual,14871$,13392$,Automobile,2014,Acura,Ilx,White,Sedan,Front Wheel Drive,Gasoline,2.0 L 4 cyl,Automatic
2650$,19VDE1F3XEE009631,2014 Acura Ilx 20,#51822433,Copart,США,Ca - Martinez,Insurance company,-,2023-05-22,19:00:00,Ca - Salvage Certificate,Collision,Undercarriage,Front End,Run and drive,301832 mi / actual,8626$,8962$,Automobile,2014,Acura,Ilx 20,Black,-,Front-wheel Drive,Gas,2.0 L 4 cyl,Automatic
2100$,5FRYD3H49EB005754,2014 Acura Mdx Technology,#48213113,Copart,США,Al - Birmingham,Insurance company,E / 5119,2023-05-23,17:00:00,Al - Cert Of Title-salvage Title (p),Property Damage,Front End,-,Run and drive,191215 mi / actual,11551$,9634$,Automobile,2014,Acura,Mdx Technology,Silver,-,Front-wheel Drive,Gas,3.5 L 6 cyl,Automatic
1750$,19VDE1F33EE001287,2014 Acura Ilx 20,#69049092,Copart,США,Fl - Punta Gorda South,Insurance company,-,2023-05-23,14:00:00,Fl - Cert Of Title Slvg Rebuildable,Wind,Front End,-,Engine starts,119040 mi / actual,11346$,0$,Automobile,2014,Acura,Ilx 20,Charcoal,-,Front-wheel Drive,Gas,2.0 L 4 cyl,Automatic
4050$,5J8TB4H3XEL015836,2014 Acura Rdx,#51678583,Copart,США,Az - Phoenix,Insurance company,C / 3078,2023-05-22,19:00:00,Az - Cert Of Title - Salvage,Collision,Front End,Undercarriage,Engine starts,150748 mi / actual,16233$,14350$,Automobile,2014,Acura,Rdx,White,-,All Wheel Drive,Gas,3.5 L 6 cyl,Automatic
